Self,Child,Grandchild,Great-grandchild,2nd Great-grandchild,3rd Great-grandchild,4th Great-grandchild,5th Great-grandchild,6th Great-grandchild,7th Great-grandchild,8th Great-grandchild
Parent,Sibling,Nephew/Niece,Grand nephew/niece,Great-grand nephew/niece,2nd Great-grand nephew/niece,3rd Great-grand nephew/niece,4th Great-grand nephew/niece,5th Great-grand nephew/niece,6th Great-grand nephew/niece,7th Great-grand nephew/niece
Grandparent,Uncle/Aunt,First cousin,First cousin once removed,First cousin twice removed,First cousin 3x removed,First cousin 4x removed,First cousin 5x removed,First cousin 6x removed,First cousin 7x removed,First cousin 8x removed
Great-grandparent,Grand Uncle/Aunt,First cousin once removed,2nd Cousin,2nd cousin once removed,2nd cousin twice removed,2nd cousin 3x removed,2nd cousin 4x removed,2nd cousin 5x removed,2nd cousin 6x removed,2nd cousin 7x removed
2nd Great-grandparent,Great-granduncle/aunt,First cousin twice removed,2nd cousin once removed,3rd Cousin,3rd cousin once removed,3rd cousin twice removed,3rd cousin 3x removed,3rd cousin 4x removed,3rd cousin 5x removed,3rd cousin 6x removed
3rd Great-grandparent,2nd Great-granduncle/aunt,First cousin 3x removed,2nd cousin twice removed,3rd cousin once removed,4th Cousin,4th cousin once removed,4th cousin twice removed,4th cousin 3x removed,4th cousin 4x removed,4th cousin 5x removed
4th Great-grandparent,3rd Great-granduncle/aunt,First cousin 4x removed,2nd cousin 3x removed,3rd cousin twice removed,4th cousin once removed,5th Cousin,5th cousin once removed,5th cousin twice removed,5th cousin 3x removed,5th cousin 4x removed
5th Great-grandparent,4th Great-granduncle/aunt,First cousin 5x removed,2nd cousin 4x removed,3rd cousin 3x removed,4th cousin twice removed,5th cousin once removed,6th Cousin,6th cousin once removed,6th cousin twice removed,6th cousin 3x removed
6th Great-grandparent,5th Great-granduncle/aunt,First cousin 6x removed,2nd cousin 5x removed,3rd cousin 4x removed,4th cousin 3x removed,5th cousin twice removed,6th cousin once removed,7th Cousin,7th cousin once removed,7th cousin twice removed
7th Great-grandparent,6th Great-granduncle/aunt,First cousin 7x removed,2nd cousin 6x removed,3rd cousin 5x removed,4th cousin 4x removed,5th cousin 3x removed,6th cousin twice removed,7th cousin once removed,8th Cousin,8th cousin once removed
8th Great-grandparent,7th Great-granduncle/aunt,First cousin 8x removed,2nd cousin 7x removed,3rd cousin 6x removed,4th cousin 5x removed,5th cousin 4x removed,6th cousin 3x removed,7th cousin twice removed,8th cousin once removed,9th Cousin